dialect,op_name,td_symbol,template,source_file,family,status,arguments,argument_type_hints,results,result_type_hints,param_type_lists
ascendc,ascendc.set_atomic_add,AscendC_SetAtomicAddOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpSetAtomic.td,other,explicit-def,dtype:TypeAttr,dtype:TypeAttr,,,5
ascendc,ascendc.set_atomic_max,AscendC_SetAtomicMaxOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpSetAtomic.td,other,explicit-def,dtype:TypeAttr,dtype:TypeAttr,,,5
ascendc,ascendc.set_atomic_min,AscendC_SetAtomicMinOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpSetAtomic.td,other,explicit-def,dtype:TypeAttr,dtype:TypeAttr,,,5
ascendc,ascendc.set_atomic_none,AscendC_SetAtomicNoneOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpSetAtomic.td,other,no-signature,,,,,
ascendc,ascendc.set_atomic_type,AscendC_SetAtomicTypeOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpSetAtomic.td,other,explicit-def,dtype:TypeAttr,dtype:TypeAttr,,,5
ascendc,ascendc.set_cmp_mask,AscendC_SetCmpMaskOp,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,src:AscendC_LocalTensor,src:AscendC_LocalTensor,,,
ascendc,ascendc.set_deq_scale,AscendC_SetDeqScaleOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpVecVconv.td,other,explicit-def,scale:AnyType; offset:Optional<I16>; signMode:Optional<AnyType>,scale:AnyType; offset:I16/Optional; signMode:AnyType/Optional,,,
ascendc,ascendc.set_deq_scale_l4,AscendC_SetDeqScaleL4Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecVconv.td,other,explicit-def,vdeq:AscendC_LocalTensor; vdeqInfo:AscendC_VdeqInfo,vdeq:AscendC_LocalTensor; vdeqInfo:AscendC_VdeqInfo,,,
ascendc,ascendc.set_ffts_base_addr,AscendC_SetFftsBaseAddrOp,APIOp,include/ascir/Dialect/Asc/IR/Ops.td,other,explicit-def,?:AnyMemRef,?:AnyMemRef,,,
ascendc,ascendc.set_fixpipe_pre_quant_flag,AscendC_SetFixpipePreQuantFlagOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpFixpipe.td,cube,explicit-def,config:AnyType,config:AnyType,,,
ascendc,ascendc.set_flag,SetFlagOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpBlockSync.td,other,explicit-def,event:AscendC_HardEventAttr; eventId:AnyType,event:AscendC_HardEventAttr; eventId:AnyType,,,3;0
ascendc,ascendc.set_fmatrix,AscendC_SetFmatrixOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpMm.td,cube,explicit-def,l1H:AnySignlessIntegerOrIndex; l1W:AnySignlessIntegerOrIndex; padList:AnyRankedOrUnrankedMemRef; fmatrixMode:AscendC_FmatrixMode,l1H:AnySignlessIntegerOrIndex; l1W:AnySignlessIntegerOrIndex; padList:AnyRankedOrUnrankedMemRef; fmatrixMode:AscendC_FmatrixMode,,,
ascendc,ascendc.set_hccl_context,AscendC_SetHcclContextOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpHcclContext.td,other,explicit-def,index:AnyType; context:AnyType,index:AnyType; context:AnyType,,,4;0
ascendc,ascendc.set_hf32_mode,AscendC_SetHF32ModeOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/Common.td,other,explicit-def,mode:I1,mode:I1,,,
ascendc,ascendc.set_hf32_trans_mode,AscendC_SetHF32TransModeOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/Common.td,other,explicit-def,trans_mode:I1,trans_mode:I1,,,
ascendc,ascendc.set_load_data_boundary,AscendC_SetLoadDataBoundaryOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpMm.td,cube,explicit-def,value:AnySignlessIntegerOrIndex,value:AnySignlessIntegerOrIndex,,,
ascendc,ascendc.set_load_data_padding_value,AscendC_SetLoadDataPaddingValueOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpMm.td,cube,explicit-def,padValue:AnyType,padValue:AnyType,,,
ascendc,ascendc.set_load_data_repeat,AscendC_SetLoadDataRepeatOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpMm.td,cube,explicit-def,repeatParams:AscendC_LoadDataRepeatParam,repeatParams:AscendC_LoadDataRepeatParam,,,
ascendc,ascendc.set_mask_count,AscendC_SetMaskCountOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/Common.td,other,no-signature,,,,,
ascendc,ascendc.set_mask_norm,AscendC_SetMaskNormOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/Common.td,other,no-signature,,,,,
ascendc,ascendc.set_mm_layout_transform,AscendC_SetMMLayoutTransformOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/Common.td,other,explicit-def,mm_layout_mode:I1,mm_layout_mode:I1,,,
ascendc,ascendc.set_pad_value,AscendC_SetPadValueOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpDataCopy.td,datacopy,explicit-def,paddingValue:AnyType; pos:AscendC_TPositionAttr,paddingValue:AnyType; pos:AscendC_TPositionAttr,,,1;3
ascendc,ascendc.set_store_atomic_config,AscendC_SetStoreAtomicConfigOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpCommon.td,other,explicit-def,atomicType:AscendC_AtomicDtypeAttr; atomicOp:AscendC_AtomicOpAttr,atomicType:AscendC_AtomicDtypeAttr; atomicOp:AscendC_AtomicOpAttr,,,3;3
ascendc,ascendc.set_sys_workspace,AscendC_SetSysWorkspaceOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpSwapMem.td,other,explicit-def,workspace:AnyType,workspace:AnyType,,,
ascendc,ascendc.set_vector_mask_l0,AscendC_SetVectorMaskL0Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/Common.td,other,explicit-def,len:AnyType; dtype:TypeAttr; mode:AscendC_MaskModeAttr,len:AnyType; dtype:TypeAttr; mode:AscendC_MaskModeAttr,,,
ascendc,ascendc.set_vector_mask_l1,AscendC_SetVectorMaskL1Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/Common.td,other,explicit-def,maskHigh:AnyType; maskLow:AnyType; dtype:TypeAttr; mode:AscendC_MaskModeAttr,maskHigh:AnyType; maskLow:AnyType; dtype:TypeAttr; mode:AscendC_MaskModeAttr,,,
ascendc,ascendc.shape_info.original_shape,AscendC_ShapeInfoOriginalShapeOp,AscendC_Op,include/ascir/Dialect/Asc/IR/Core/Tensor.td,other,explicit-def,base:AscendC_ShapeInfo; dim:AnySignlessIntegerOrIndex,base:AscendC_ShapeInfo; dim:AnySignlessIntegerOrIndex,result:AnySignlessIntegerOrIndex,result:AnySignlessIntegerOrIndex,
ascendc,ascendc.shape_info.shape,AscendC_ShapeInfoShapeOp,AscendC_Op,include/ascir/Dialect/Asc/IR/Core/Tensor.td,other,explicit-def,base:AscendC_ShapeInfo; dim:AnySignlessIntegerOrIndex,base:AscendC_ShapeInfo; dim:AnySignlessIntegerOrIndex,result:AnySignlessIntegerOrIndex,result:AnySignlessIntegerOrIndex,
ascendc,ascendc.shift_left,AscendC_ShiftLeftOp,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCastExt.td,other,explicit-def,dst:AnyType; src:AnyType; shiftBits:AnyType; calCount:AnyType,dst:AnyType; src:AnyType; shiftBits:AnyType; calCount:AnyType,,,
ascendc,ascendc.shift_left_l0,ShiftLeftL0Op,VecScalarL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.shift_left_l1,ShiftLeftL1Op,VecScalarL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,,,
